source,status,item
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","24.238163114424 -12.278387300703 Western Sahara  (feature #185, WOEID: 23424990)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","24.118111136983 44.490501663716 Saudi Arabia  (feature #186, WOEID: 23424938)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","15.917980899874 29.928264300863 Sudan  (feature #187, WOEID: 23424952)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","7.3459216664961 30.275362119903 South Sudan  (feature #188, WOEID: 56558055)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","14.317034102043 -14.521715513089 Senegal  (feature #189, WOEID: 23424943)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","1.3560868014948 103.81761933706 Singapore  (feature #190, WOEID: 23424948)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","-54.429559297168 -36.505689475132 South Georgia and South Sandwich Islands  (feature #191, WOEID: 23424955)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","-12.350764881174 -9.605848239151 Saint Helena  (feature #192, WOEID: 23424944)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","-8.9692633981921 159.38124158038 Solomon Islands  (feature #193, WOEID: 23424766)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","8.5371629711056 -11.810593269092 Sierra Leone  (feature #194, WOEID: 23424946)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","13.751800415186 -88.865024281871 El Salvador  (feature #195, WOEID: 23424807)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","43.942963683143 12.458290194238 San Marino  (feature #196, WOEID: 23424947)"
ne_50m_admin_0_countries.geojson,"API returned no results for search.","9.7426765759483 46.227090105579 Somaliland  (feature #197)"
